172,Borja Valero,Valero Borja,C,C,5,5,4,4,Fiorentina,0,0,destro,Spagna,12/01/1985 00:00:00,https://content.fantacalcio.it/web/campioncini/card/BORJA-VALERO.jpg,0,6.0,6.0
177,Ilicic,Ilicic Josip,A,A,27,27,27,27,Atalanta,0,0,sinistro,Slovenia,29/01/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card/ILICIC.jpg,0,0.0,0.0
181,Vecino,Vecino Matias,C,M;C,7,7,7,7,Inter,0,0,destro,Uruguay;Italia,24/08/1991 00:00:00,https://content.fantacalcio.it/web/campioncini/card/VECINO.jpg,0,0.0,0.0
183,Babacar,Babacar Khouma,A,Pc,8,8,7,7,Sassuolo,0,0,destro,Senegal,17/03/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card/BABACAR.jpg,1,0.0,0.0
184,Bernardeschi,Bernardeschi Federico,C,W;T,10,10,11,11,Juventus,0,0,sinistro,Italia,16/02/1994 00:00:00,https://content.fantacalcio.it/web/campioncini/card/BERNARDESCHI.jpg,0,0.0,0.0
186,Rebic,Rebic Ante,A,A,27,27,27,27,Milan,0,0,destro,Croazia,21/09/1993 00:00:00,https://content.fantacalcio.it/web/campioncini/card/REBIC.jpg,0,6.0,6.0
215,Verde,Verde Daniele,A,A,6,6,6,6,Spezia,0,0,sinistro,Italia,20/06/1996 00:00:00,https://content.fantacalcio.it/web/campioncini/card/NO-CAMPIONCINO.jpg,0,0.0,0.0
216,Donnarumma An.,Donnarumma Antonio,P,Por,1,1,1,1,Milan,0,0,destro,Italia,07/07/1990 00:00:00,https://content.fantacalcio.it/web/campioncini/card/NO-CAMPIONCINO.jpg,0,0.0,0.0
218,Perin,Perin Mattia,P,Por,8,8,8,8,Genoa,0,0,destro,Italia,10/11/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card/PERIN.jpg,0,6.0,5.0
220,Ujkani,Ujkani Samir,P,Por,1,1,1,1,Torino,0,0,destro,Albania;Kosovo,05/07/1988 00:00:00,https://content.fantacalcio.it/web/campioncini/card/NO-CAMPIONCINO.jpg,0,0.0,0.0
224,De Maio,De Maio Sebastien,D,Dc,6,6,6,6,Udinese,0,0,destro,Francia,05/03/1987 00:00:00,https://content.fantacalcio.it/web/campioncini/card/DE-MAIO.jpg,0,6.0,6.0
226,Izzo,Izzo Armando,D,Dd;Dc,10,10,11,11,Torino,0,0,destro,Italia,02/03/1992 00:00:00,https://content.fantacalcio.it/web/campioncini/card/IZZO.jpg,0,5.0,5.0
